Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age Group,Tenure Group,Income Group
28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,1,19,Male,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,6,3,4,2,0,3,Adult,3-5 Years,Low
29,No,Travel_Rarely,Research & Development,21,Life Sciences,1,20,Female,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,10,3,10,9,8,8,Adult,6-10 Years,Medium
32,No,Travel_Rarely,Research & Development,5,Life Sciences,1,21,Male,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,7,2,6,2,0,5,Adult,6-10 Years,Low
22,No,Non-Travel,Research & Development,16,Medical,1,22,Male,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,1,2,1,0,0,0,Young Adult,0-2 Years,Low
53,No,Travel_Rarely,Sales,2,Life Sciences,1,23,Female,4,Manager,4,Married,15427,2,No,16,3,3,31,3,25,8,3,7,Elder,10+ Years,High
38,No,Travel_Rarely,Research & Development,2,Life Sciences,1,24,Male,1,Research Scientist,4,Single,3944,5,Yes,11,3,3,6,3,3,2,1,2,Adult,3-5 Years,Low
24,No,Non-Travel,Research & Development,11,Other,1,26,Female,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,4,5,2,4,2,1,3,Young Adult,3-5 Years,Low
36,Yes,Travel_Rarely,Sales,9,Life Sciences,1,27,Male,1,Sales Representative,1,Single,3407,7,No,23,4,2,10,3,5,3,0,3,Adult,3-5 Years,Low
34,No,Travel_Rarely,Research & Development,7,Life Sciences,1,28,Female,3,Research Director,2,Single,11994,0,No,11,3,3,13,3,12,6,2,11,Adult,10+ Years,High
21,No,Travel_Rarely,Research & Development,15,Life Sciences,1,30,Male,1,Research Scientist,4,Single,1232,1,No,14,3,4,0,3,0,0,0,0,Young Adult,0-2 Years,Low
34,Yes,Travel_Rarely,Research & Development,6,Medical,1,31,Male,1,Research Scientist,1,Single,2960,2,No,11,3,3,8,3,4,2,1,3,Adult,3-5 Years,Low
53,No,Travel_Rarely,Research & Development,5,Other,1,32,Female,5,Manager,3,Divorced,19094,4,No,11,3,4,26,2,14,13,4,8,Elder,10+ Years,High
32,Yes,Travel_Frequently,Research & Development,16,Life Sciences,1,33,Female,1,Research Scientist,1,Single,3919,1,Yes,22,4,2,10,3,10,2,6,7,Adult,6-10 Years,Low
42,No,Travel_Rarely,Sales,8,Marketing,1,35,Male,2,Sales Executive,2,Married,6825,0,No,11,3,4,10,3,9,7,4,2,Adult,6-10 Years,Medium
44,No,Travel_Rarely,Research & Development,7,Medical,1,36,Female,3,Healthcare Representative,4,Married,10248,3,No,14,3,4,24,3,22,6,5,17,Adult,10+ Years,High
46,No,Travel_Rarely,Sales,2,Marketing,1,38,Female,5,Manager,1,Single,18947,3,No,12,3,4,22,2,2,2,2,1,Elder,0-2 Years,High
33,No,Travel_Rarely,Research & Development,2,Medical,1,39,Male,1,Laboratory Technician,4,Single,2496,4,No,11,3,4,7,3,1,1,0,0,Adult,0-2 Years,Low
44,No,Travel_Rarely,Research & Development,10,Other,1,40,Male,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,9,4,4,2,1,3,Adult,3-5 Years,Medium
30,No,Travel_Rarely,Research & Development,9,Medical,1,41,Male,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,10,3,10,0,1,8,Adult,6-10 Years,Low
39,Yes,Travel_Rarely,Sales,5,Technical Degree,1,42,Male,2,Sales Representative,4,Married,2086,3,No,14,3,3,19,4,1,0,0,0,Adult,0-2 Years,Low
24,Yes,Travel_Rarely,Research & Development,1,Medical,1,45,Male,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,6,2,2,0,2,0,Young Adult,0-2 Years,Low
43,No,Travel_Rarely,Research & Development,2,Medical,1,46,Female,1,Research Scientist,3,Divorced,2645,1,No,12,3,4,6,2,5,3,1,4,Adult,3-5 Years,Low
50,Yes,Travel_Rarely,Sales,3,Marketing,1,47,Male,1,Sales Representative,3,Married,2683,1,Yes,14,3,3,3,3,3,2,0,2,Elder,3-5 Years,Low
35,No,Travel_Rarely,Sales,2,Marketing,1,49,Female,1,Sales Representative,4,Married,2014,1,No,13,3,1,2,3,2,2,2,2,Adult,0-2 Years,Low
36,No,Travel_Rarely,Research & Development,5,Life Sciences,1,51,Female,1,Research Scientist,1,Married,3419,9,Yes,14,3,4,6,4,1,1,0,0,Adult,0-2 Years,Low
33,No,Travel_Frequently,Sales,1,Life Sciences,1,52,Female,2,Sales Executive,1,Married,5376,2,No,19,3,1,10,3,5,3,1,3,Adult,3-5 Years,Medium
35,No,Travel_Rarely,Research & Development,4,Other,1,53,Male,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,3,1,0,0,0,Adult,0-2 Years,Low
27,No,Travel_Rarely,Research & Development,2,Life Sciences,1,54,Female,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,4,1,3,1,0,0,0,Adult,0-2 Years,Low
26,Yes,Travel_Rarely,Research & Development,25,Life Sciences,1,55,Male,1,Laboratory Technician,3,Single,2293,1,No,12,3,3,1,2,1,0,0,1,Adult,0-2 Years,Low
27,No,Travel_Frequently,Sales,8,Life Sciences,1,56,Male,3,Sales Executive,3,Single,8726,1,No,15,3,4,9,3,9,8,1,7,Adult,6-10 Years,Medium
30,No,Travel_Frequently,Research & Development,1,Medical,1,57,Female,2,Laboratory Technician,4,Single,4011,1,No,23,4,4,12,3,12,8,3,7,Adult,10+ Years,Low
41,Yes,Travel_Rarely,Research & Development,12,Technical Degree,1,58,Female,5,Research Director,3,Married,19545,1,No,12,3,4,23,3,22,15,15,8,Adult,10+ Years,High
34,No,Non-Travel,Sales,23,Marketing,1,60,Male,2,Sales Executive,3,Single,4568,0,No,20,4,3,10,3,9,5,8,7,Adult,6-10 Years,Low
37,No,Travel_Rarely,Research & Development,19,Life Sciences,1,61,Male,1,Research Scientist,2,Married,3022,4,No,21,4,1,8,3,1,0,0,0,Adult,0-2 Years,Low
46,No,Travel_Frequently,Sales,5,Marketing,1,62,Male,2,Sales Executive,4,Single,5772,4,Yes,21,4,3,14,3,9,6,0,8,Elder,6-10 Years,Medium
35,No,Travel_Rarely,Research & Development,8,Life Sciences,1,63,Male,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,1,3,1,0,0,1,Adult,0-2 Years,Low
48,Yes,Travel_Rarely,Research & Development,1,Life Sciences,1,64,Male,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,23,3,1,0,0,0,Elder,0-2 Years,Medium
28,Yes,Travel_Rarely,Research & Development,5,Technical Degree,1,65,Male,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,3,2,2,2,2,2,2,Adult,0-2 Years,Low
44,No,Travel_Rarely,Sales,1,Marketing,1,68,Female,2,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,9,2,4,3,1,3,Adult,3-5 Years,Medium
35,No,Non-Travel,Research & Development,11,Medical,1,70,Male,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,10,3,4,0,2,3,Adult,3-5 Years,Medium
26,No,Travel_Rarely,Sales,23,Marketing,1,72,Female,2,Sales Executive,4,Married,4157,7,Yes,19,3,3,5,2,2,2,0,0,Adult,0-2 Years,Low
33,No,Travel_Frequently,Research & Development,1,Life Sciences,1,73,Female,3,Research Director,4,Single,13458,1,Yes,12,3,3,15,3,15,14,8,12,Adult,10+ Years,High
35,No,Travel_Frequently,Sales,18,Life Sciences,1,74,Male,3,Sales Executive,1,Married,9069,1,No,22,4,4,9,2,9,8,1,8,Adult,6-10 Years,Medium
35,No,Travel_Rarely,Research & Development,23,Medical,1,75,Female,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,4,3,2,2,2,2,Adult,0-2 Years,Low
31,No,Travel_Rarely,Research & Development,7,Life Sciences,1,76,Male,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,10,2,7,7,1,7,Adult,6-10 Years,Medium
37,No,Travel_Rarely,Research & Development,1,Life Sciences,1,77,Male,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,7,4,7,5,0,7,Adult,6-10 Years,Medium
32,No,Travel_Rarely,Research & Development,1,Medical,1,78,Male,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,9,3,9,8,7,8,Adult,6-10 Years,Medium
38,No,Travel_Frequently,Research & Development,29,Life Sciences,1,79,Female,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,10,3,10,3,9,9,Adult,6-10 Years,Low
50,No,Travel_Rarely,Research & Development,7,Medical,1,80,Female,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,29,2,27,3,13,8,Elder,10+ Years,High
59,No,Travel_Rarely,Sales,25,Life Sciences,1,81,Female,3,Sales Executive,1,Single,7637,7,No,11,3,4,28,2,21,16,7,9,Elder,10+ Years,Medium
36,No,Travel_Rarely,Research & Development,8,Technical Degree,1,83,Female,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,17,3,17,14,12,8,Adult,10+ Years,High
55,No,Travel_Rarely,Research & Development,8,Medical,1,84,Female,4,Manager,3,Divorced,14756,2,Yes,14,3,3,21,3,5,0,0,2,Elder,3-5 Years,High
36,No,Travel_Frequently,Research & Development,11,Life Sciences,1,85,Male,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,6,3,6,5,0,3,Adult,6-10 Years,Medium
45,No,Travel_Rarely,Research & Development,7,Life Sciences,1,86,Male,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,25,3,1,0,0,0,Elder,0-2 Years,Medium
35,No,Travel_Frequently,Research & Development,1,Medical,1,88,Male,1,Research Scientist,1,Married,2194,4,No,13,3,4,5,2,3,2,1,2,Adult,3-5 Years,Low
36,Yes,Travel_Rarely,Research & Development,9,Medical,1,90,Male,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,2,2,1,0,0,0,Adult,0-2 Years,Low
59,No,Travel_Frequently,Sales,1,Life Sciences,1,91,Female,2,Sales Executive,3,Single,5473,7,No,11,3,4,20,2,4,3,1,3,Elder,3-5 Years,Medium
29,No,Travel_Rarely,Research & Development,2,Life Sciences,1,94,Male,1,Research Scientist,2,Married,2703,0,No,23,4,4,6,3,5,4,0,4,Adult,3-5 Years,Low
31,No,Travel_Rarely,Research & Development,1,Medical,1,95,Male,1,Research Scientist,2,Single,2501,1,No,17,3,2,1,3,1,1,1,0,Adult,0-2 Years,Low
32,No,Travel_Rarely,Research & Development,1,Life Sciences,1,96,Male,2,Research Scientist,2,Married,6220,1,No,17,3,2,10,3,10,4,0,9,Adult,6-10 Years,Medium
36,No,Travel_Rarely,Research & Development,6,Life Sciences,1,97,Female,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,5,3,1,0,0,0,Adult,0-2 Years,Low
31,No,Travel_Rarely,Research & Development,8,Life Sciences,1,98,Female,2,Manufacturing Director,4,Single,4424,1,No,23,4,4,11,3,11,7,1,8,Adult,10+ Years,Low
35,No,Travel_Rarely,Sales,1,Marketing,1,100,Male,2,Sales Executive,1,Single,4312,0,No,14,3,2,16,3,15,13,2,8,Adult,10+ Years,Low
45,No,Travel_Rarely,Research & Development,6,Other,1,101,Male,3,Research Director,1,Married,13245,4,Yes,14,3,2,17,4,0,0,0,0,Elder,0-2 Years,High
37,No,Travel_Rarely,Research & Development,7,Medical,1,102,Male,3,Research Director,3,Single,13664,4,No,13,3,1,16,4,5,2,0,2,Adult,3-5 Years,High
46,No,Travel_Rarely,Human Resources,5,Medical,1,103,Male,2,Human Resources,2,Divorced,5021,8,Yes,22,4,4,16,3,4,2,0,2,Elder,3-5 Years,Medium
30,No,Travel_Rarely,Research & Development,1,Life Sciences,1,104,Male,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,10,2,10,8,3,0,Adult,6-10 Years,Medium
35,No,Travel_Rarely,Research & Development,1,Medical,1,105,Male,1,Research Scientist,3,Single,2859,1,No,18,3,1,6,3,6,4,0,4,Adult,6-10 Years,Low
55,No,Travel_Rarely,Sales,1,Life Sciences,1,106,Male,3,Sales Executive,4,Married,10239,3,No,14,3,4,24,3,1,0,1,0,Elder,0-2 Years,High
38,No,Non-Travel,Research & Development,6,Medical,1,107,Female,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,17,3,13,11,1,9,Adult,10+ Years,Medium
34,No,Travel_Rarely,Research & Development,1,Medical,1,110,Male,2,Manufacturing Director,2,Married,4325,1,No,15,3,3,5,3,5,2,1,3,Adult,3-5 Years,Low
56,No,Travel_Rarely,Research & Development,7,Life Sciences,1,112,Male,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,37,2,6,4,0,2,Elder,6-10 Years,Medium
23,No,Travel_Rarely,Sales,2,Technical Degree,1,113,Male,1,Sales Representative,1,Divorced,2322,3,No,13,3,3,3,3,0,0,0,0,Young Adult,0-2 Years,Low
51,No,Travel_Rarely,Research & Development,9,Life Sciences,1,116,Male,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,10,3,4,2,0,3,Elder,3-5 Years,Low
30,No,Travel_Rarely,Research & Development,2,Life Sciences,1,117,Male,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,11,3,11,10,10,8,Adult,10+ Years,Low
46,Yes,Travel_Rarely,Sales,9,Medical,1,118,Male,3,Sales Executive,4,Single,9619,1,No,16,3,4,9,3,9,8,4,7,Elder,6-10 Years,Medium
40,No,Travel_Frequently,Research & Development,1,Life Sciences,1,119,Male,4,Healthcare Representative,2,Married,13503,1,No,22,4,4,22,2,22,3,11,11,Adult,10+ Years,High
51,No,Travel_Rarely,Sales,21,Marketing,1,120,Male,2,Sales Executive,4,Single,5441,0,Yes,22,4,4,11,1,10,7,1,0,Elder,6-10 Years,Medium
30,No,Travel_Rarely,Sales,4,Medical,1,121,Female,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,11,2,11,8,2,7,Adult,10+ Years,Medium
46,No,Travel_Frequently,Research & Development,1,Medical,1,124,Male,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,3,21,2,10,9,9,5,Elder,6-10 Years,High
32,No,Travel_Rarely,Sales,6,Medical,1,125,Male,2,Sales Executive,3,Single,5010,1,No,16,3,1,12,3,11,8,5,7,Adult,10+ Years,Medium
54,No,Travel_Rarely,Research & Development,2,Technical Degree,1,126,Female,3,Research Director,3,Married,13549,9,No,12,3,1,16,1,4,3,0,3,Elder,3-5 Years,High
24,No,Travel_Rarely,Sales,3,Other,1,128,Female,2,Sales Executive,3,Married,4999,0,No,21,4,1,4,2,3,2,0,2,Young Adult,3-5 Years,Low
28,No,Non-Travel,Sales,4,Medical,1,129,Male,2,Sales Executive,3,Married,4221,1,No,15,3,2,5,4,5,4,0,4,Adult,3-5 Years,Low
58,No,Travel_Rarely,Sales,10,Medical,1,131,Male,4,Sales Executive,3,Single,13872,0,No,13,3,3,38,2,37,10,1,8,Elder,10+ Years,High
44,No,Non-Travel,Research & Development,23,Medical,1,132,Male,2,Laboratory Technician,2,Married,2042,4,No,12,3,3,17,4,3,2,1,2,Adult,3-5 Years,Low
37,Yes,Travel_Rarely,Human Resources,6,Human Resources,1,133,Male,1,Human Resources,1,Divorced,2073,4,Yes,22,4,4,7,3,3,2,0,2,Adult,3-5 Years,Low
32,No,Travel_Rarely,Research & Development,1,Life Sciences,1,134,Male,1,Research Scientist,1,Single,2956,1,No,13,3,4,1,3,1,0,0,0,Adult,0-2 Years,Low
20,Yes,Travel_Frequently,Research & Development,6,Life Sciences,1,137,Female,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,2,1,3,1,0,1,0,Young Adult,0-2 Years,Low
34,No,Travel_Rarely,Research & Development,6,Other,1,138,Female,2,Research Scientist,3,Single,4809,1,No,14,3,3,16,3,16,13,2,10,Adult,10+ Years,Low
37,No,Non-Travel,Research & Development,2,Life Sciences,1,139,Male,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,4,17,4,1,0,0,0,Adult,0-2 Years,Medium
59,No,Non-Travel,Human Resources,2,Human Resources,1,140,Female,5,Manager,4,Married,18844,9,No,21,4,4,30,3,3,2,2,2,Elder,3-5 Years,High
50,No,Travel_Frequently,Research & Development,1,Life Sciences,1,141,Female,5,Research Director,2,Married,18172,3,Yes,19,3,1,28,2,8,3,0,7,Elder,6-10 Years,High
25,Yes,Travel_Rarely,Sales,5,Marketing,1,142,Male,2,Sales Executive,3,Single,5744,1,Yes,11,3,4,6,3,6,4,0,3,Adult,6-10 Years,Medium
25,No,Travel_Rarely,Research & Development,7,Medical,1,143,Male,1,Research Scientist,4,Married,2889,1,No,11,3,3,2,3,2,2,2,1,Adult,0-2 Years,Low
22,No,Travel_Rarely,Research & Development,15,Medical,1,144,Female,1,Laboratory Technician,4,Single,2871,1,No,15,3,3,1,3,0,0,0,0,Young Adult,0-2 Years,Low
51,No,Travel_Frequently,Research & Development,1,Medical,1,145,Female,3,Healthcare Representative,1,Single,7484,3,No,20,4,3,23,2,13,12,12,8,Elder,10+ Years,Medium
34,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,147,Male,2,Laboratory Technician,3,Single,6074,1,Yes,24,4,4,9,3,9,7,0,6,Adult,6-10 Years,Medium
54,No,Non-Travel,Human Resources,26,Human Resources,1,148,Female,4,Manager,4,Single,17328,2,Yes,12,3,3,23,3,5,3,4,4,Elder,3-5 Years,High
24,No,Travel_Rarely,Research & Development,18,Life Sciences,1,150,Male,1,Laboratory Technician,3,Married,2774,0,No,12,3,3,6,3,5,3,1,2,Young Adult,3-5 Years,Low
34,No,Travel_Rarely,Research & Development,6,Life Sciences,1,151,Female,2,Research Scientist,2,Divorced,4505,6,No,15,3,3,12,3,1,0,0,0,Adult,0-2 Years,Low
37,No,Travel_Rarely,Sales,3,Life Sciences,1,152,Male,3,Sales Executive,4,Single,7428,2,No,12,3,1,12,3,5,3,1,3,Adult,3-5 Years,Medium
34,No,Travel_Rarely,Research & Development,5,Medical,1,153,Female,3,Manager,1,Single,11631,2,No,12,3,4,14,3,11,10,5,8,Adult,10+ Years,High
36,No,Travel_Frequently,Sales,11,Technical Degree,1,154,Female,3,Sales Executive,4,Married,9738,0,No,14,3,3,10,3,9,7,2,8,Adult,6-10 Years,Medium
36,No,Travel_Rarely,Research & Development,3,Life Sciences,1,155,Female,1,Laboratory Technician,4,Divorced,2835,5,No,22,4,1,7,3,1,0,0,0,Adult,0-2 Years,Low
43,No,Travel_Frequently,Sales,26,Life Sciences,1,158,Male,4,Manager,4,Married,16959,1,Yes,12,3,4,25,4,25,12,4,12,Adult,10+ Years,High
30,No,Travel_Frequently,Research & Development,23,Life Sciences,1,159,Male,1,Research Scientist,3,Divorced,2613,1,No,25,4,3,10,2,10,7,0,9,Adult,6-10 Years,Low
33,No,Non-Travel,Sales,22,Marketing,1,160,Male,2,Sales Executive,2,Married,6146,0,No,13,3,1,8,4,7,7,0,7,Adult,6-10 Years,Medium
56,Yes,Travel_Rarely,Research & Development,14,Life Sciences,1,161,Female,1,Research Scientist,2,Married,4963,9,Yes,18,3,1,7,3,5,4,4,3,Elder,3-5 Years,Low
51,No,Travel_Rarely,Research & Development,6,Life Sciences,1,162,Male,5,Research Director,3,Single,19537,7,No,13,3,3,23,3,20,18,15,15,Elder,10+ Years,High
31,Yes,Travel_Rarely,Sales,6,Life Sciences,1,163,Male,2,Sales Executive,3,Married,6172,4,Yes,18,3,2,12,2,7,7,7,7,Adult,6-10 Years,Medium
26,No,Travel_Rarely,Research & Development,6,Other,1,164,Female,1,Research Scientist,2,Married,2368,1,No,19,3,3,5,2,5,4,4,3,Adult,3-5 Years,Low
58,Yes,Travel_Rarely,Research & Development,23,Medical,1,165,Female,3,Healthcare Representative,4,Married,10312,1,No,12,3,4,40,2,40,10,15,6,Elder,10+ Years,High
19,Yes,Travel_Rarely,Sales,22,Marketing,1,167,Male,1,Sales Representative,3,Single,1675,1,Yes,19,3,4,0,2,0,0,0,0,Young Adult,0-2 Years,Low
22,No,Travel_Rarely,Research & Development,2,Technical Degree,1,169,Male,1,Laboratory Technician,4,Married,2523,0,No,14,3,3,3,3,2,1,2,1,Young Adult,0-2 Years,Low
49,No,Travel_Rarely,Research & Development,20,Medical,1,170,Female,2,Manufacturing Director,1,Married,6567,1,No,14,3,3,16,2,15,11,5,11,Elder,10+ Years,Medium
43,No,Travel_Frequently,Research & Development,28,Medical,1,171,Female,1,Research Scientist,3,Single,4739,4,No,12,3,4,18,3,3,2,1,2,Adult,3-5 Years,Low
50,No,Travel_Frequently,Sales,12,Marketing,1,174,Female,3,Sales Executive,4,Single,9208,4,No,11,3,4,16,3,2,2,2,1,Elder,0-2 Years,Medium
31,Yes,Travel_Rarely,Sales,20,Life Sciences,1,175,Female,2,Sales Executive,3,Married,4559,3,Yes,11,3,3,4,3,2,2,2,2,Adult,0-2 Years,Low
41,No,Travel_Rarely,Sales,9,Life Sciences,1,176,Male,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,3,12,3,9,7,0,7,Adult,6-10 Years,Medium
26,No,Travel_Rarely,Human Resources,25,Life Sciences,1,177,Female,1,Human Resources,3,Married,2942,1,No,23,4,4,8,3,8,7,5,7,Adult,6-10 Years,Low
36,No,Travel_Rarely,Research & Development,6,Medical,1,178,Male,2,Manufacturing Director,2,Divorced,4941,6,No,20,4,4,7,3,3,2,0,1,Adult,3-5 Years,Low
51,Yes,Travel_Frequently,Research & Development,8,Life Sciences,1,179,Male,3,Manufacturing Director,4,Single,10650,2,No,15,3,4,18,3,4,2,0,3,Elder,3-5 Years,High
39,No,Travel_Rarely,Sales,4,Life Sciences,1,182,Female,2,Sales Executive,3,Married,5902,4,No,14,3,3,17,4,15,11,5,9,Adult,10+ Years,Medium
25,No,Travel_Rarely,Sales,28,Life Sciences,1,183,Male,2,Sales Executive,3,Married,8639,2,No,18,3,4,6,3,2,2,2,2,Adult,0-2 Years,Medium
30,No,Travel_Rarely,Human Resources,9,Human Resources,1,184,Male,2,Human Resources,4,Married,6347,0,Yes,19,3,4,12,1,11,9,4,7,Adult,10+ Years,Medium
32,Yes,Travel_Rarely,Research & Development,9,Medical,1,190,Female,1,Laboratory Technician,1,Single,4200,7,No,22,4,1,10,4,5,4,0,4,Adult,3-5 Years,Low
45,No,Travel_Rarely,Research & Development,29,Medical,1,192,Male,1,Research Scientist,4,Single,3452,5,No,13,3,2,9,2,6,5,0,3,Elder,6-10 Years,Low
38,No,Travel_Rarely,Research & Development,3,Technical Degree,1,193,Female,2,Research Scientist,3,Single,4317,3,Yes,20,4,2,19,3,3,2,2,2,Adult,3-5 Years,Low
30,No,Travel_Rarely,Research & Development,18,Life Sciences,1,194,Female,1,Research Scientist,3,Single,2632,1,No,14,3,3,5,2,5,4,0,4,Adult,3-5 Years,Low
32,No,Travel_Frequently,Sales,9,Medical,1,195,Male,2,Sales Executive,4,Divorced,4668,0,No,17,3,4,9,4,8,7,0,7,Adult,6-10 Years,Low
30,No,Travel_Rarely,Research & Development,5,Technical Degree,1,197,Female,1,Research Scientist,1,Divorced,3204,5,No,14,3,4,8,3,3,2,2,2,Adult,3-5 Years,Low
30,No,Travel_Rarely,Research & Development,2,Medical,1,198,Male,1,Laboratory Technician,4,Single,2720,0,No,13,3,4,6,3,5,3,1,2,Adult,3-5 Years,Low
41,No,Travel_Frequently,Research & Development,10,Life Sciences,1,199,Male,4,Manager,1,Divorced,17181,4,No,13,3,2,21,2,7,6,7,7,Adult,6-10 Years,High
41,No,Travel_Rarely,Research & Development,9,Life Sciences,1,200,Male,1,Laboratory Technician,1,Married,2238,2,No,21,4,4,7,3,5,0,1,4,Adult,3-5 Years,Low
19,No,Travel_Rarely,Research & Development,3,Medical,1,201,Female,1,Laboratory Technician,2,Single,1483,1,No,14,3,4,1,3,1,0,0,0,Young Adult,0-2 Years,Low
40,No,Travel_Frequently,Research & Development,26,Medical,1,202,Female,2,Research Scientist,2,Divorced,5605,1,No,11,3,1,20,3,20,7,2,13,Adult,10+ Years,Medium
35,No,Travel_Rarely,Sales,1,Marketing,1,204,Male,3,Sales Executive,2,Married,7295,1,No,13,3,1,10,3,10,8,0,6,Adult,6-10 Years,Medium
53,No,Travel_Rarely,Sales,6,Marketing,1,205,Male,2,Sales Representative,3,Married,2306,2,Yes,20,4,4,13,1,7,7,4,5,Elder,6-10 Years,Low
45,No,Travel_Rarely,Research & Development,9,Life Sciences,1,206,Male,2,Laboratory Technician,2,Divorced,2348,8,No,18,3,3,20,1,17,9,0,15,Elder,10+ Years,Low
